Temperature;Cmax
-2898;0.000186248
-2898;0.000176935
-2898;0.000168089
-2898;0.000159684
-2898;0.0001517
-2898;0.000144115
-2898;0.000136909
-2898;0.000130064
-2898;0.000123561
-2898;0.000117383
-2898;0.000111513
-2898;0.000105938
-2898;0.000100641
-2898;9.56088e-05
-2898;9.08284e-05
-2898;8.62869e-05
-2898;8.19726e-05
-2898;7.7874e-05
-2898;7.39803e-05
-2898;7.02813e-05
-2898;6.67672e-05
-2898;6.34288e-05
-2898;6.02574e-05
-2898;5.72445e-05
-2898;5.43823e-05
-2898;5.16632e-05
-2898;4.908e-05
-2898;4.6626e-05
-2898;4.42947e-05
-2898;4.208e-05
-2898;3.9976e-05
-2898;3.79772e-05
-2898;3.60783e-05
-2898;3.42744e-05
-2898;3.25607e-05
-2898;3.09327e-05
-2898;2.9386e-05
-2898;2.79167e-05
-2898;2.65209e-05
-2898;2.51948e-05
-2898;2.39351e-05
-2898;2.27383e-05
-2898;2.16014e-05
-2898;2.05214e-05
-2898;1.94953e-05
-2898;1.85205e-05
-2898;1.75945e-05
-2898;1.67148e-05
-2898;1.5879e-05
-2898;1.50851e-05
-2898;1.43308e-05
-2898;1.36143e-05
-2898;1.29336e-05
-2898;1.22869e-05
-2898;1.16725e-05
-2898;1.10889e-05
-2898;1.05345e-05
-2898;1.00078e-05
